"V1" "V2"
"CTNNB1" "GSK3B"
"CTNNB1" "GTF2A2"
"CTNNB1" "HDAC1"
"CTNNB1" "HDAC2"
"CTNNB1" "HIF1A"
"CTNNB1" "IGF1R"
"CTNNB1" "IKBKB"
"CTNNB1" "IQGAP1"
"CTNNB1" "JUN"
"CTNNB1" "KDR"
"CTNNB1" "KLF4"
"CTNNB1" "LEF1"
"CTNNB1" "LRP6"
"CTNNB1" "MAPK8"
"CTNNB1" "MAPK9"
"CTNNB1" "MET"
"CTNNB1" "miR-34a"
"CTNNB1" "miR-34b"
"CTNNB1" "miR-34c"
"CTNNB1" "MITF"
"CTNNB1" "MYC"
"CTNNB1" "NFKB1"
"CTNNB1" "NOTCH1"
"CTNNB1" "PPARD"
"CTNNB1" "PTEN"
"CTNNB1" "PTGS2"
"CTNNB1" "PTPN11"
"CTNNB1" "RAC1"
"CTNNB1" "RAC3"
"CTNNB1" "RET"
"CTNNB1" "RNF2"
"CTNNB1" "SMAD2"
"CTNNB1" "SMAD3"
"CTNNB1" "SMAD4"
"CTNNB1" "SMAD7"
"CTNNB1" "SMARCA4"
"CTNNB1" "SMARCE1"
"CTNNB1" "SRC"
"CTNNB1" "SUPT5H"
"CTNNB1" "TCF3"
"CTNNB1" "TCF7"
"CTNNB1" "TCF7L1"
"CTNNB1" "TCF7L2"
"CTNNB1" "TGFBR1"
"CTNNB1" "TGFBR2"
"CTNNB1" "TLE2"
"CTNNB1" "UBC"
"CTNNB1" "VCL"
"CTNNB1" "WNT1"
"CTNNB1" "WNT3"
"CTNNB1" "WNT3A"
"CTNNB1" "WNT4"
"CTNNB1" "WNT5A"
"CTNNB1" "WNT7A"
"CTNNB1" "WNT7B"
"CTNNB1" "WNT9B"
"CTNNB1" "YAP1"
"CTNNB1" "YWHAZ"
"CUL5" "miR-192"
"CUL5" "miR-205"
"CUL5" "miR-215"
"CYCS" "miR-192"
"CYCS" "miR-215"
"CYCS" "miR-34b"
"DAPK1" "miR-130b"
"DNMT1" "DNMT3A"
"DNMT1" "E2F1"
"DNMT1" "EED"
"DNMT1" "EZH2"
"DNMT1" "HDAC1"
"DNMT1" "HDAC2"
"DNMT1" "HIC1"
"DNMT1" "MXD3"
"DNMT1" "RB1"
"DNMT1" "SIRT1"
"DNMT1" "SNAI1"
"DNMT1" "SP1"
"DNMT1" "STAT3"
"DNMT1" "TEAD1"
"DNMT1" "TP53"
"DNMT1" "UBC"
"DNMT1" "ZNF146"
"DNMT3A" "EZH2"
"DNMT3A" "HDAC1"
"DNMT3A" "miR-200c"
"DUSP16" "MAPK1"
"DUSP16" "miR-192"
"DVL2" "GSK3B"
"DVL2" "NOTCH1"
"DVL2" "WNT1"
"DVL3" "GSK3B"
"DVL3" "NOTCH1"
"DVL3" "WNT1"
"E2F1" "EZH2"
"E2F1" "HDAC1"
"E2F1" "miR-130b"
"E2F1" "miR-205"
"E2F1" "miR-34a"
"E2F1" "SIRT1"
"E2F3" "HDAC1"
"E2F3" "miR-141"
"E2F3" "miR-200c"
"E2F3" "miR-34a"
"E2F3" "miR-34c"
"EED" "EZH2"
"EED" "GSK3B"
"EED" "HDAC1"
"EED" "HDAC2"
"EED" "NOTCH1"
"EED" "STAT3"
"EED" "TCF7"
"EED" "TNF"
"EGFR" "HRAS"
"EGFR" "KRAS"
"EGFR" "MAPK1"
"EGFR" "NFKB1"
"EGFR" "NOTCH1"
"EGFR" "SOS1"
